id,fecha,producto,cantidad,precio_unitario
1,2024-01-05,Laptop,2,850.00
2,2024-01-12,Mouse,15,25.00
3,2024-01-18,Teclado,8,45.00
4,2024-01-25,Monitor,3,320.00
5,2024-02-03,Laptop,1,850.00
6,2024-02-08,Auriculares,10,60.00
7,2024-02-15,Mouse,20,25.00
8,2024-02-22,Teclado,5,45.00
9,2024-03-01,Monitor,4,320.00
10,2024-03-10,Laptop,3,850.00
11,2024-03-18,Auriculares,12,60.00
12,2024-03-25,Mouse,25,25.00
13,2024-04-02,Teclado,10,45.00
14,2024-04-09,Laptop,2,850.00
15,2024-04-17,Monitor,2,320.00
16,2024-04-24,Auriculares,8,60.00
17,2024-05-05,Mouse,18,25.00
18,2024-05-13,Laptop,4,850.00
19,2024-05-20,Teclado,7,45.00
20,2024-05-28,Monitor,5,320.00
21,2024-06-04,Auriculares,15,60.00
22,2024-06-11,Mouse,22,25.00
23,2024-06-18,Laptop,2,850.00
24,2024-06-25,Teclado,9,45.00
25,2024-07-03,Monitor,3,320.00
26,2024-07-10,Auriculares,11,60.00
27,2024-07-17,Laptop,5,850.00
28,2024-07-24,Mouse,30,25.00
29,2024-08-01,Teclado,6,45.00
30,2024-08-08,Monitor,4,320.00
31,2024-08-15,Auriculares,14,60.00
32,2024-08-22,Laptop,3,850.00
33,2024-09-05,Mouse,28,25.00
34,2024-09-12,Teclado,11,45.00
35,2024-09-19,Monitor,6,320.00
36,2024-09-26,Laptop,4,850.00
37,2024-10-03,Auriculares,20,60.00
38,2024-10-10,Mouse,35,25.00
39,2024-10-17,Laptop,6,850.00
40,2024-10-24,Teclado,8,45.00
41,2024-11-01,Monitor,5,320.00
42,2024-11-08,Auriculares,18,60.00
43,2024-11-15,Laptop,7,850.00
44,2024-11-22,Mouse,40,25.00
45,2024-12-03,Teclado,12,45.00
46,2024-12-10,Monitor,8,320.00
47,2024-12-17,Laptop,9,850.00
48,2024-12-24,Auriculares,25,60.00
